  In (21,32), the ground is expected to be light grey, but it is white.
  In (21,37), the ground is expected to be light grey, but it is white.
  In (21,41), the ground is expected to be white, but it is light grey.
  In (21,44), the ground is expected to be light grey, but it is white.
  In (21,46), the ground is expected to be light grey, but it is white.
  In (21,51), the ground is expected to be light grey, but it is white.
  In (21,53), the ground is expected to be light grey, but it is white.
  In (21,54), the ground is expected to be white, but it is light grey.
  In (21,56), the ground is expected to be white, but it is light grey.
  In (21,58), the ground is expected to be light grey, but it is white.
  In (21,60), the ground is expected to be light grey, but it is white.
  In (22,1), the ground is expected to be white, but it is light grey.
  In (22,10), the ground is expected to be light grey, but it is white.
  In (22,17), the ground is expected to be light grey, but it is white.
  In (22,24), the ground is expected to be light grey, but it is white.
  In (22,31), the ground is expected to be light grey, but it is white.
  In (22,40), the ground is expected to be white, but it is light grey.
  In (22,42), the ground is expected to be white, but it is light grey.
  In (22,45), the ground is expected to be light grey, but it is white.
  In (22,52), the ground is expected to be light grey, but it is white.
  In (22,53), the ground is expected to be white, but it is light grey.
  In (22,54), the ground is expected to be white, but it is light grey.
  In (22,55), the ground is expected to be white, but it is light grey.
  In (22,56), the ground is expected to be white, but it is light grey.
  In (22,57), the ground is expected to be white, but it is light grey.
  In (22,59), the ground is expected to be light grey, but it is white.
  In (23,2), the ground is expected to be white, but it is light grey.
  In (23,4), the ground is expected to be white, but it is light grey.
  In (23,6), the ground is expected to be light grey, but it is white.
  In (23,7), the ground is expected to be light grey, but it is white.
  In (23,13), the ground is expected to be light grey, but it is white.
  In (23,14), the ground is expected to be light grey, but it is white.
  In (23,20), the ground is expected to be light grey, but it is white.
  In (23,21), the ground is expected to be light grey, but it is white.
  In (23,27), the ground is expected to be light grey, but it is white.
  In (23,28), the ground is expected to be light grey, but it is white.
  In (23,34), the ground is expected to be light grey, but it is white.
  In (23,35), the ground is expected to be light grey, but it is white.
  In (23,39), the ground is expected to be white, but it is light grey.
  In (23,42), the ground is expected to be light grey, but it is white.
  In (23,48), the ground is expected to be light grey, but it is white.
  In (23,49), the ground is expected to be light grey, but it is white.
  In (23,53), the ground is expected to be white, but it is light grey.
  In (23,54), the ground is expected to be white, but it is light grey.
  In (23,57), the ground is expected to be white, but it is light grey.
  In (23,62), the ground is expected to be light grey, but it is white.
  In (24,3), the ground is expected to be white, but it is light grey.
  In (24,5), the ground is expected to be light grey, but it is white.
  In (24,8), the ground is expected to be light grey, but it is white.
  In (24,12), the ground is expected to be light grey, but it is white.
  In (24,15), the ground is expected to be light grey, but it is white.
  In (24,19), the ground is expected to be light grey, but it is white.
